pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
7r73	A	NA	0	G	protein	NA	glycoprotein 120	IMMUNE SYSTEM	3/30/2022	Crystal structure of llama VHH antibody D7 in complex with HIV-1 gp120 core	HUMAN IMMUNODEFICIENCY VIRUS 1; LAMA GLAMA	lama glama		human immunodeficiency virus 1	"Zhou, T., Kwong, P.D."	1.76	X-RAY DIFFRACTION	0.215	0.179	FALSE	TRUE	IGHV1	NA	NA	None	None	None	None	None
7r74	B	NA	0	C	protein	NA	glycoprotein 120	IMMUNE SYSTEM	3/30/2022	Crystal structure of llama VHH antibody in complex with HIV-1 HXBC2 gp120 core	HUMAN IMMUNODEFICIENCY VIRUS 1; LAMA GLAMA	lama glama		human immunodeficiency virus 1	"Zhou, T., Kwong, P.D."	2.76	X-RAY DIFFRACTION	0.27	0.212	FALSE	TRUE	IGHV1	NA	NA	None	None	None	None	None
7ri1	B	NA	0	A	protein	NA	glycoprotein 120	IMMUNE SYSTEM	3/30/2022	Crystal structure of anti-HIV llama VHH antibody A12 in complex with HIV-1 C1086 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; LAMA GLAMA	lama glama		human immunodeficiency virus 1	"Zhou, T., Kwong, P.D."	2.55	X-RAY DIFFRACTION	0.225	0.176	FALSE	TRUE	unknown	unknown	unknown	None	None	None	None	None
7ri2	B	NA	0	A	protein	NA	glycoprotein 120	IMMUNE SYSTEM	3/30/2022	Crystal structure of anti-HIV llama VHH antibody A12 in complex with HIV-1 C1086 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; LAMA GLAMA	lama glama		human immunodeficiency virus 1	"Zhou, T., Kwong, P.D."	2.8	X-RAY DIFFRACTION	0.33	0.273	FALSE	TRUE	IGHV1	NA	NA	None	None	None	None	None
7s2r	B	NA	0	A	protein	NA	cytokine receptor common subunit gamma	PROTEIN BINDING	3/30/2022	nanobody bound to IL-2Rg	HOMO SAPIENS; CAMELUS BACTRIANUS	camelus bactrianus		homo sapiens	"Glassman, C.R., Jude, K.M., Yen, M., Garcia, K.C."	2.49	X-RAY DIFFRACTION	0.271	0.246	FALSE	TRUE	IGHV1	NA	NA	None	None	None	None	None
7s2s	C	NA	0	B	protein	NA	interleukin-2 receptor subunit beta	PROTEIN BINDING	3/30/2022	nanobody bound to Interleukin-2Rbeta	CAMELUS BACTRIANUS; HOMO SAPIENS	camelus bactrianus		homo sapiens	"Glassman, C.R., Jude, K.M., Yen, M., Garcia, K.C."	1.93	X-RAY DIFFRACTION	0.247	0.213	FALSE	TRUE	IGHV1	NA	NA	None	None	None	None	None
7vfa	D	NA	0	E	protein	NA	3c-like proteinase	VIRAL PROTEIN/IMMUNE SYSTEM	3/30/2022	the complex of SARS-CoV2 3CL and NB1A2	CAMELUS BACTRIANUS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	camelus bactrianus		severe acute respiratory syndrome coronavirus2 	"Sun, Z.C., Wang, L., Geng, Y."	1.75	X-RAY DIFFRACTION	0.225	0.192	FALSE	TRUE	IGHV1	NA	NA	None	None	None	None	None
7vfb	B	NA	0	A	protein	NA	3c-like proteinase	VIRAL PROTEIN/IMMUNE SYSTEM	3/30/2022	the complex of SARS-CoV2 3cl and NB2B4	CAMELUS BACTRIANUS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	camelus bactrianus		severe acute respiratory syndrome coronavirus2 	"Geng, Y., Sun, Z.C., Wang, L."	2	X-RAY DIFFRACTION	0.264	0.236	FALSE	TRUE	IGHV1	NA	NA	None	None	None	None	None
7rby	B	NA	0	A	protein	NA	spike protein s1	VIRAL PROTEIN	3/23/2022	Crystal structure of Nanobody nb112 and SARS-CoV-2 RBD	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; LAMA GLAMA	lama glama		severe acute respiratory syndrome coronavirus2 	"Chen, Y., Tolbert, W., Pazgier, M."	2.82	X-RAY DIFFRACTION	0.287	0.201	FALSE	TRUE	IGHV1	NA	NA	None	None	None	None	None
7z1a	E	NA	0	C	protein	NA	spike protein s1	ANTIVIRAL PROTEIN	3/23/2022	Nanobody H11 and F2 bound to RBD	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; LAMA GLAMA	lama glama		severe acute respiratory syndrome coronavirus2 	"Mikolajek, H., Naismith, J.H."	2.59	X-RAY DIFFRACTION	0.241	0.208	FALSE	TRUE	IGHV1	NA	NA	None	None	None	None	None
